Observation_ID,Date,Year,Time,Behavior,Sender_ID,Sender_plumage_category,Sender_sex,Sender_age,Sender_age_exact,Receiver_ID,Receiver_sex,Receiver_age,Receiver_age_exact,Social_mate,Prev_breeding_group
OPP223,2016-07-21,2016,12H 42M 0S,Allopreening,DE8,Moulting,M,4,exact,AJ1,F,2,exact,1,1
OPP224,2016-07-05,2016,15H 37M 0S,Chasing,JC3,Ornamented,M,3,exact,JD6,M,4,min,0,0
OPP225,2016-07-19,2016,7H 29M 0S,Allopreening,IE4,Unornamented,F,1,exact,FB7,M,1,exact,0,NA
OPP226,2016-07-19,2016,7H 31M 0S,Allopreening,IE4,Unornamented,F,1,exact,AA0,M,1,exact,NA,NA
OPP227,2016-07-19,2016,7H 32M 0S,Allopreening,AA0,Unornamented,M,1,exact,FG3,M,1,exact,0,NA
OPP228,2016-07-19,2016,7H 33M 0S,Allopreening,IE4,Unornamented,F,1,exact,EI4,F,5,min,0,NA
OPP229,2016-07-19,2016,8H 39M 0S,Allopreening,IG1,Unornamented,M,1,exact,IB1,F,3,exact,0,1
OPP230,2016-07-20,2016,11H 45M 0S,Allopreening,HB1,Unornamented,M,2,exact,DE6,F,5,min,0,1
OPP231,2016-07-21,2016,7H 48M 0S,Allopreening,GG1,Unornamented,M,2,exact,FF7,F,3,exact,NA,0
OPP232,2016-07-21,2016,8H 25M 0S,Allopreening,GF4,Unornamented,F,2,exact,BJ4,M,2,exact,0,0
OPP233,2016-07-21,2016,10H 54M 0S,Allopreening,EH7,Unornamented,F,2,exact,DB3,M,1,exact,1,0
OPP234,2016-07-21,2016,11H 14M 0S,Allopreening,GF4,Unornamented,F,2,exact,BJ4,M,2,exact,0,0
OPP235,2016-07-21,2016,11H 33M 0S,Allopreening,AA2,Unornamented,F,2,min,BJ5,M,3,exact,1,0
OPP236,2016-06-20,2016,8H 19M 0S,Allopreening,FE1,Unornamented,NA,NA,NA,HH2,M,2,exact,NA,NA
OPP237,2016-07-17,2016,7H 42M 0S,Courtship,BJ9,Ornamented,M,4,min,CC9,F,2,exact,0,1
OPP238,2016-07-17,2016,10H 25M 0S,Allopreening,IE6,Ornamented,M,3,exact,IB1,F,3,exact,1,1
OPP239,2016-07-19,2016,7H 21M 0S,Allopreening,DC9,Unornamented,M,2,exact,CC9,F,2,exact,0,0
OPP240,2016-07-21,2016,7H 38M 0S,Allopreening,HA7,Ornamented,M,4,exact,JD1,M,2,min,0,1
OPP241,2016-07-21,2016,10H 15M 0S,Allopreening,JE6,Unornamented,F,2,min,CB1,M,1,exact,1,1
OPP242,2016-07-22,2016,8H 45M 0S,Allopreening,GG7,Ornamented,NA,NA,NA,HI0,F,2,exact,NA,NA
OPP243,2016-07-22,2016,9H 12M 0S,Allopreening,EA1,Unornamented,NA,NA,NA,DG8,F,2,min,NA,NA
OPP244,2016-07-22,2016,8H 1M 0S,Allopreening,EB7,Unornamented,F,2,exact,FD9,F,4,min,0,0
OPP245,2016-07-22,2016,8H 3M 0S,Allopreening,JC1,Unornamented,M,1,min,EB7,F,2,exact,0,0
OPP246,2016-07-22,2016,8H 12M 0S,Allopreening,IA3,Unornamented,M,5,exact,FD9,F,4,min,1,0
OPP247,2016-07-23,2016,8H 49M 0S,Allopreening,EH5,Unornamented,M,2,exact,EH4,F,4,exact,1,0
OPP248,2016-07-23,2016,9H 34M 0S,Allopreening,DE6,Unornamented,F,5,min,HB1,M,2,exact,0,1
OPP249,2016-07-23,2016,6H 50M 0S,Allopreening,JC0,Unornamented,F,2,exact,AH8,M,1,exact,0,0
OPP250,2016-07-23,2016,6H 56M 0S,Chasing,JC0,Unornamented,F,2,exact,EG1,F,4,exact,0,0
OPP251,2016-07-23,2016,7H 8M 0S,Chasing,JC0,Unornamented,F,2,exact,EG1,F,4,exact,0,0
OPP252,2016-07-23,2016,7H 10M 0S,Allopreening,AH8,Unornamented,M,1,exact,JC0,F,2,exact,0,0
OPP253,2016-07-23,2016,7H 11M 0S,Chasing,AH8,Unornamented,M,1,exact,JC0,F,2,exact,0,0
OPP254,2016-07-23,2016,9H 34M 0S,Allopreening,DB4,Unornamented,F,2,exact,GD5,M,2,exact,1,1
OPP255,2016-07-23,2016,11H 23M 0S,Allopreening,FD9,Unornamented,F,4,min,IA3,M,5,exact,1,0
OPP256,2016-07-23,2016,12H 4M 0S,Allopreening,IE6,Ornamented,M,3,exact,IB1,F,3,exact,1,1
OPP257,2016-07-21,2016,7H 32M 0S,Chasing,BJ5,Unornamented,M,3,exact,AJ9,M,1,exact,0,0
OPP258,2016-07-22,2016,7H 16M 0S,Allopreening,JC3,Ornamented,M,3,exact,GG4,M,2,exact,0,0
OPP259,2016-07-22,2016,7H 16M 0S,Allopreening,GG4,Unornamented,M,2,exact,DA1,F,3,exact,1,0
OPP260,2016-07-22,2016,7H 16M 0S,Allopreening,JC3,Ornamented,M,3,exact,DA1,F,3,exact,0,1
OPP261,2016-07-22,2016,7H 40M 0S,Allopreening,HD0,Unornamented,M,2,exact,IG1,M,1,exact,0,0
OPP262,2016-07-22,2016,7H 40M 0S,Allopreening,IE6,Ornamented,M,3,exact,IB1,F,3,exact,1,1
OPP263,2016-07-22,2016,9H 0M 0S,Allopreening,CI5,Unornamented,F,6,exact,ED4,M,5,exact,1,1
OPP264,2016-07-22,2016,11H 48M 0S,Allopreening,AA2,Unornamented,F,2,min,BJ5,M,3,exact,1,0
OPP265,2016-07-22,2016,11H 48M 0S,Chasing,BJ5,Unornamented,M,3,exact,AA2,F,2,min,1,0
OPP266,2016-07-23,2016,6H 50M 0S,Chasing,IA3,Unornamented,M,5,exact,GD8,M,1,exact,0,0
OPP267,2016-07-23,2016,7H 41M 0S,Allopreening,GG5,Unornamented,M,2,exact,HB2,F,2,exact,1,1
OPP268,2016-07-23,2016,7H 41M 0S,Allopreening,HB2,Unornamented,F,2,exact,DB3,M,1,exact,0,0
OPP269,2016-07-23,2016,7H 41M 0S,Allopreening,GG5,Unornamented,M,2,exact,DB3,M,1,exact,0,0
OPP270,2016-07-23,2016,7H 42M 0S,Allopreening,DB3,Unornamented,M,1,exact,GG5,M,2,exact,0,0
OPP271,2016-07-23,2016,8H 10M 0S,Allopreening,DB3,Unornamented,M,1,exact,GG5,M,2,exact,0,0
OPP272,2016-07-23,2016,8H 19M 0S,Allopreening,FB5,Unornamented,F,1,exact,JH4,M,1,exact,0,0
