Observation_ID,Date,Year,Day_of_year,Time,Bird_ID,Observer,Sex,Plumage_score,Plumage_group,Age,Age_exact,Alarm_calling,Allopreening,Calling,Chasing,Chipping,Courtship,Flying,Foraging,Other,Preening,Scolding,Singing,Sitting,U,Vocalizing,Observation_time,Alarm_calling_prop,Allopreening_prop,Chasing_prop,Courtship_prop,Flying_prop,Foraging_prop,Other_prop,Preening_prop,Sitting_prop,Vocalizing_prop
ITR019,2016-07-06,2016,188,826,U07,ITR,M,100,BRIGHT,4,min,0,0,NA,0,NA,0,19,53,0,0,NA,NA,84,144,0,300,0,0,0,0,0.12179487179487179,0.33974358974358976,0,0,0.5384615384615384,0
TCH018,2016-07-14,2016,196,710,U03,TCH,M,0,DULL,2,min,0,0,NA,0,NA,0,6,138,0,0,NA,NA,13,141,2,300,0,0,0,0,0.03773584905660377,0.8679245283018868,0,0,0.08176100628930817,0.012578616352201259
FFD070,2016-07-15,2016,197,940,F01,FFD,M,1,DULL,2,exact,0,0,NA,0,NA,0,2,156,0,0,NA,NA,0,142,0,300,0,0,0,0,0.012658227848101266,0.9873417721518988,0,0,0,0
FFD074,2016-07-16,2016,198,1141,N04,FFD,M,0,DULL,2,min,0,0,NA,0,NA,0,2,132,0,0,NA,NA,5,161,0,300,0,0,0,0,0.014388489208633094,0.9496402877697842,0,0,0.03597122302158273,0
FFD075,2016-07-16,2016,198,1151,K04,FFD,M,100,BRIGHT,5,min,0,0,NA,0,NA,1,10,37,0,32,NA,NA,105,112,3,300,0,0,0,0.005319148936170213,0.05319148936170213,0.19680851063829788,0,0.1702127659574468,0.5585106382978723,0.015957446808510637
SMT080,2016-07-15,2016,197,1218,D08,SMT,M,25,MOULT,4,exact,0,0,NA,0,NA,0,5,0,0,91,NA,NA,69,135,0,300,0,0,0,0,0.030303030303030304,0,0,0.5515151515151515,0.41818181818181815,0
SMT082,2016-07-16,2016,198,928,H05,SMT,M,0,DULL,3,exact,0,0,NA,0,NA,0,8,45,0,0,NA,NA,85,161,1,300,0,0,0,0,0.05755395683453238,0.3237410071942446,0,0,0.6115107913669064,0.007194244604316547
FFD077,2016-07-16,2016,198,1045,T08,FFD,M,0,DULL,4,exact,0,0,NA,0,NA,0,6,128,0,2,NA,NA,2,162,0,300,0,0,0,0,0.043478260869565216,0.927536231884058,0,0.014492753623188406,0.014492753623188406,0
SMT086,2016-07-17,2016,199,1058,Y08,SMT,M,0,DULL,2,exact,0,0,NA,0,NA,0,26,54,0,4,NA,NA,38,175,3,300,0,0,0,0,0.208,0.432,0,0.032,0.304,0.024
FFD078,2016-07-17,2016,199,640,R09,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,7,104,0,0,NA,NA,30,156,3,300,0,0,0,0,0.04861111111111111,0.7222222222222222,0,0,0.20833333333333334,0.020833333333333332
TCH022,2016-07-17,2016,199,906,N05,TCH,M,0,DULL,2,exact,0,0,NA,0,NA,0,8,142,0,0,NA,NA,11,139,0,300,0,0,0,0,0.049689440993788817,0.8819875776397516,0,0,0.06832298136645963,0
FFD079,2016-07-17,2016,199,1051,D08,FFD,M,35,MOULT,4,exact,0,0,NA,0,NA,0,16,107,0,28,NA,NA,44,104,1,300,0,0,0,0,0.08163265306122448,0.5459183673469388,0,0.14285714285714285,0.22448979591836735,0.00510204081632653
FFD080,2016-07-17,2016,199,925,Q10,FFD,M,0,DULL,4,min,0,0,NA,0,NA,0,4,116,0,0,NA,NA,39,140,1,300,0,0,0,0,0.025,0.725,0,0,0.24375,0.00625
FFD081,2016-07-17,2016,199,945,A10,FFD,M,95,BRIGHT,3,exact,0,0,NA,0,NA,1,9,117,0,0,NA,NA,23,150,0,300,0,0,0,0.006666666666666667,0.06,0.78,0,0,0.15333333333333332,0
FFD082,2016-07-17,2016,199,958,X06,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,3,118,0,0,NA,NA,111,64,4,300,0,0,0,0,0.012711864406779662,0.5,0,0,0.4703389830508475,0.01694915254237288
FFD084,2016-07-17,2016,199,655,C04,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,11,94,0,4,NA,NA,57,134,0,300,0,0,0,0,0.06626506024096386,0.5662650602409639,0,0.024096385542168676,0.3433734939759036,0
FFD085,2016-07-17,2016,199,722,U07,FFD,M,100,BRIGHT,4,min,0,0,NA,0,NA,0,8,267,0,0,NA,NA,3,22,0,300,0,0,0,0,0.02877697841726619,0.960431654676259,0,0,0.01079136690647482,0
FFD086,2016-07-17,2016,199,736,U03,FFD,M,0,DULL,2,min,0,0,NA,0,NA,0,11,39,0,26,NA,NA,129,95,0,300,0,0,0,0,0.05365853658536585,0.1902439024390244,0,0.12682926829268293,0.6292682926829268,0
FFD087,2016-07-17,2016,199,742,X05,FFD,M,100,BRIGHT,4,exact,0,0,NA,0,NA,0,5,154,0,0,NA,NA,42,99,0,300,0,0,0,0,0.024875621890547265,0.7661691542288557,0,0,0.208955223880597,0
FFD088,2016-07-17,2016,199,757,Q02,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,13,38,0,0,NA,NA,71,177,1,300,0,0,0,0,0.10569105691056911,0.3089430894308943,0,0,0.5772357723577236,0.008130081300813009
FFD089,2016-07-17,2016,199,836,V03,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,8,92,0,4,NA,NA,34,162,0,300,0,0,0,0,0.057971014492753624,0.6666666666666666,0,0.028985507246376812,0.2463768115942029,0
FFD090,2016-07-17,2016,199,853,G02,FFD,M,0,DULL,4,exact,0,0,NA,0,NA,0,14,153,0,0,NA,NA,46,87,0,300,0,0,0,0,0.06572769953051644,0.7183098591549296,0,0,0.215962441314554,0
FFD091,2016-07-19,2016,201,653,Q02,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,7,5,0,0,NA,NA,106,179,3,300,0,0,0,0,0.05785123966942149,0.04132231404958678,0,0,0.8760330578512396,0.024793388429752067
FFD092,2016-07-19,2016,201,709,V03,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,7,126,0,0,NA,NA,33,134,0,300,0,0,0,0,0.04216867469879518,0.7590361445783133,0,0,0.19879518072289157,0
FFD093,2016-07-19,2016,201,721,U03,FFD,M,0,DULL,2,min,0,0,NA,0,NA,0,6,206,0,0,NA,NA,40,48,0,300,0,0,0,0,0.023809523809523808,0.8174603174603174,0,0,0.15873015873015872,0
FFD094,2016-07-19,2016,201,733,X05,FFD,M,100,BRIGHT,4,exact,0,0,NA,0,NA,121,6,52,0,31,NA,NA,61,28,1,300,0,0,0,0.44485294117647056,0.022058823529411766,0.19117647058823528,0,0.11397058823529412,0.22426470588235295,0.003676470588235294
TCH025,2016-07-19,2016,201,1251,A10,TCH,M,95,BRIGHT,3,exact,0,0,NA,0,NA,0,10,77,0,54,NA,NA,32,127,0,300,0,0,0,0,0.057803468208092484,0.44508670520231214,0,0.31213872832369943,0.18497109826589594,0
FFD097,2016-07-19,2016,201,759,U07,FFD,M,100,BRIGHT,4,min,0,0,NA,0,NA,105,6,8,0,44,NA,NA,19,118,0,300,0,0,0,0.5769230769230769,0.03296703296703297,0.04395604395604396,0,0.24175824175824176,0.1043956043956044,0
FFD098,2016-07-19,2016,201,820,G02,FFD,M,0,DULL,4,exact,0,0,NA,0,NA,0,8,95,0,0,NA,NA,99,98,0,300,0,0,0,0,0.039603960396039604,0.47029702970297027,0,0,0.4900990099009901,0
FFD100,2016-07-19,2016,201,1118,Q10,FFD,M,5,DULL,4,min,0,0,NA,0,NA,0,0,271,0,0,NA,NA,0,26,3,300,0,0,0,0,0,0.9890510948905109,0,0,0,0.010948905109489052
FFD101,2016-07-19,2016,201,1157,Q08,FFD,M,0,DULL,2,exact,0,12,NA,0,NA,0,9,61,0,10,NA,NA,81,126,1,300,0,0.06896551724137931,0,0,0.05172413793103448,0.3505747126436782,0,0.05747126436781609,0.46551724137931033,0.005747126436781609
TCH026,2016-07-20,2016,202,1143,O10,TCH,M,0,DULL,2,exact,0,0,NA,0,NA,0,14,119,0,1,NA,NA,45,121,0,300,0,0,0,0,0.0782122905027933,0.664804469273743,0,0.00558659217877095,0.25139664804469275,0
